class,desc,inc_num,short_des
P,"good afternoon,

this customer is being charged for delivery after purchasing the subscription.please can you see if it needs activating?

thank you in advance,

rebecca connolly

proactive notification team

",INC0809260,y2684992
R,please can you remove the delivery pass be removed from the attached staff accounts?thanks!,INC0808628,delivery pass needs removing on staff accounts orders supra dba req
O,please set (acustrss ) to 1 so account holder can receive statements,INC0807303,g7121564
R,please can the delivery pass be removed from the attached staff accounts?thanks!,INC0807253,delivery pass needs removing on staff accounts orders supra dba req
P,"customer: d4957244
website:jd williams, mainframe
issue: she ordered on  30th april and 5th mayand she is being charged for delivery even after she has the subscription.
order number: 4057783, 4368840()
contact number:  3620",INC0806836,customer being charged for delivery
P,"short description:tamara called in to report that the customer purchase the delivery subscription on the 1st of marchbut she is still charged for delivery every time instead of having a delivery subscription.
affected people: 01
",INC0805994,website/web shop issues
R,"hi

please can the delivery passes be removed from the following staff accounts, as there are not eligible for this product;

o6949554
a4242365
v7962326
d8992944

thanks
anita


anita coles

proactive notification team

 

reception: +44 (0)161236 8256

 








manchester
www.nbrown.co.uk

 

 

n brown is a top 10 uk clothing & footwear digital retailer.our key retail brands are jd williams,simply be, jacamo and ambrose wilson.

 

",INC0805875,delivery passes
R,"please can the delivery pass be removed from this staff account a4252126 - thanks!
",INC0803134,delivery pass needs removing on staff account - supra dba req
R,please can the delivery pass be removed from the attached staff accounts?thank you,INC0798911,delivery pass needs removing on staff accounts orders supra dba req
P,"issue: customer being charged for delivery even when the delivery subscription was bought on 7th july' 2019.the account is in mainframe.
customer number: p0653011
website: jd williams
",INC0793541,customer being charged for delivery
R,please can the delivery pass be removed from the attached staff accounts?thank you,INC0793103,delivery pass needs removing on orders supra dba req
P,"brian reported that one of  the customer took a delivery subscription on 31st march2019,butit's not applicable right now
please check as there is still time fro the subscription to be cancelled
subscribed date--31st march 2019
customer number--k6404790
website--jdwilliams
",INC0791461,delivery subscription not working
R,please can the annual delivery pass service be removed from customers account a0654679.thanks!,INC0791140,annual delivery pass cancelled.
R,please can the delivery pass be removed form the attached staff accounts?thanks!,INC0791135,delivery pass needs removing on staff account orders. supra dba req
P,"jenna called and reported that a mainframe based customer purchased a delivery subscription for 1 year but it still charging the delivery amount on the order..
customerno:y2506613
website: jdwilliams
amount :£9.95
delivery subscription purchase date: 20th dec
contactno: 3506
",INC0790422,delivery subscription not working for orders
O,agent jeffrey swift oxjxs no longer works for oxendales irelandplease remove staff privileges from his staff account e8042559 asap.,INC0790378,task0137680 -  remove staff privileges from his staff account e8042559
P,"short description: getting charged for delivery
fault: angela called in and reported an issue that customer has subscribed for free delivery subscription but still getting charged when customer places the order today.kindly assist. 
errormessage: na
affected people:  1
contact number (with country code): 3913
customer number:t1164235
website: fashion world
",INC0790128,getting charged for delivery
P,"delivery subscription is not working on mainframe based customer.customer already purchased the delivery subscription for 1 year but its not getting applied on the order.kindly assist
customerno:w6378674
website: jdwilliams
amount: £9.95 for one year
",INC0789893,delivery subscription is not working
P,"short description: issue with delivery subscriptions
fault:  latisha called in and reported an issue that customer purchased unlimited delivery subscriptions for 9 pounds 95 pence in february month but when customer is going to place the order it is charging customer for delivery subscriptions.kindly assist.
errormessage: na
affected people:  1
contact number (with country code): 3620
customer number:k2189258
website: jd williams
",INC0789809,issue with delivery subscription
R,please can the delivery pass be removed from the following staff accounts?  thank you,INC0789262,delivery pass needs removing on staff accounts supra dba req
P,"fault : shammi called in to report that a customer is being charged for the delivery even after purchasing the delivery subscription.kindly check on it. 
customer number :t8235416
purchase date :25th february
order number : 2070259, 2471346
itemno : yb144sg
contact : 3746",INC0788860,delivery subasciption issue.
R,please can the delivery pass be removed from the attached staff accounts?thank you,INC0787814,delivery pass needs removing on staff accounts orders supra dba req
P,"short description: delivery subscription purchased but was 3 pound 50 pens for standard delivery charge.she wants to get it activated.the account is in mainframe.
affected people: 01
contact number (with country code): +27-214800223
customer number: q0937294
website:simply be
verified email address (in case of password issue): kimmentha1412@hotmail.com",INC0787080,website/web shop issues
R,"please can the delivery pass be removed from this staff account please?
acc number z6279554",INC0786284,delivery pass needs removing on staff accounts orders supra dba req
P,hi the customer took the £9.95 delivery subscription out on 20th november 2019 but is still being charged delivey.  please advise.  thanks peter,INC0785823,x8426166 - delivery pass
P,the customer keeps being charged for delivery even though she took out the del sub on 07.07.2019.  please rectify.  thanks peter,INC0784605,s1905074 - delivery subscription
R,please can the delivery pass be removed from the attached staff accounts?thank you,INC0783884,delivery pass needs removing on staff accounts orders supra dba req
P,"sashnee  reported that a customer is getting charged for delivery after purchasing the delivery subscription.
customerno:y0297505
website: jdwilliams
amount : £9.95 for an year
purchase date:3rd nov, 2019
",INC0781648,customer getting charged for delivery after delivery subscription
P,"issue: customer purchased the delivery pass on 10th march 2019 but haven't received it till now.
item number:rv139
order number: 9658407
customer number:f1595396
contact number: 3521
website: jdwilliams
",INC0780929,haven't received the delivery pass
P,"i4505902
 
good afternoon,
i have a query from a customer regarding their delivery subscription as they are still being charged for delivery.please can you check as to whether it needs activating?

thank you in advance.

rebecca connolly

proactive notification team

",INC0779381,i4505902
R,please can the attached annual delivery pass be removed from the attached staff accounts?thank you!,INC0779242,delivery pass needs removing from staff account orders supra dba req.
P,"angela reported that the customer applied a delivery subscription to the order, but is still being charged for it.please assist.
orderno: 9456719
customerno: h2080698
website: simplybe 
contact: 3544",INC0776815,customer charged even after adding delivery subscription
