number,short_description,Class,description
INC0809260,Y2684992,P,"From: Rebecca Connolly <Rebecca.Connolly@nbrown.co.uk>
Sent: 26 May 2020 01:25 PM
To: Serviceline <serviceline@jdwilliams.co.uk>
Subject: Y2684992
 
Good afternoon,

This customer is being charged for delivery after purchasing the subscription. Please can you see if it needs activating?

Thank you in advance,

Rebecca Connolly

Proactive Notification Team

Mobile: +44 (0)773 990 2504
Reception: +44 (0)161 236 8256

 





Griffin House

40 Lever St
Manchester
M60 6ES
www.nbrown.co.uk

 

 

N Brown is a top 10 UK clothing & footwear digital retailer. Our key retail brands are JD Williams, Simply Be, Jacamo and Ambrose Wilson.

 

"
INC0808684,Delivery offer not working,P,
INC0808628,Delivery pass needs removing on Staff Accounts orders SUPRA DBA REQ,R,Please can you remove the delivery pass be removed from the attached Staff Accounts? Thanks!
INC0807303,G7121564,O,please set (ACUSTRSS ) to 1 so account holder can receive statements
INC0807253,Delivery pass needs removing on Staff Accounts orders SUPRA DBA Req,R,Please can the delivery pass be removed from the attached Staff Accounts? Thanks!
INC0806836,customer being charged for delivery,P,"Customer: D4957244
Website: JD Williams, Mainframe
Issue: She ordered on  30th April and 5th May and she is being charged for delivery even after she has the subscription.
Order Number: 4057783, 4368840()
Contact number:  3620"
INC0805994,Website/Web Shop issues,P,"Short Description:Tamara called in to report that the customer purchase the delivery subscription on the 1st of March but she is still charged for delivery every time instead of having a delivery subscription.
Affected People: 01
Contact Number (With country code): +27-0214080223
Customer Number: O6617552
Website: SimplyBe
"
INC0805875,Delivery Passes,R,"From: Anita Coles <Anita.Coles@nbrown.co.uk>
Sent: 08 May 2020 10:35 AM
To: Serviceline <serviceline@jdwilliams.co.uk>
Subject: Delivery Passes
 
Hi

Please can the delivery passes be removed from the following staff accounts, as there are not eligible for this product;

O6949554
A4242365
V7962326
D8992944

Thanks
Anita


Anita Coles

Proactive Notification Team

 

Reception: +44 (0)161 236 8256

 








Griffin House
40 Lever St
Manchester
M60 6ES
www.nbrown.co.uk

 

 

N Brown is a top 10 UK clothing & footwear digital retailer. Our key retail brands are JD Williams, Simply Be, Jacamo and Ambrose Wilson.

 

"
INC0803134,Delivery pass needs removing on Staff Account - SUPRA DBA REQ,R,"Please can the delivery pass be removed from this Staff Account A4252126 - Thanks!
"
INC0798911,Delivery pass needs removing on Staff Accounts orders SUPRA DBA Req,R,Please can the Delivery Pass be removed from the attached Staff Accounts? Thank You
